100
,,2.047244,,1.390659,3.106729,1.504365,1.519819,1.607990,1.138428,,,2.208831,3.255701,3.378364,1.646242,,1.866792,2.904119,1.070244,,1.699140,3.514892,1.331713,,2.029009,2.743971,1.013638,,,2.598741,2.087754,2.476974,1.473702,1.245136,,,,2.190751,,1.164566,2.338686,2.039370,,,,,2.770734,,,3.006300,2.629753,,1.540883,2.502421,1.954408,,1.132320,,,,1.680972,1.056034,,1.096190,1.226944,2.777384,,,,1.988529,1.624309,2.075398,,1.643683,1.804210,2.337553,,,,1.007725,3.714472,1.312900,,1.621502,,2.510290,3.476683,2.120495,2.780895,1.033420,1.243572,,,,,,1.436132,2.131961,1.199120
,,1.834456,2.201699,1.697793,,2.883820,1.328173,2.879415,,1.240674,1.525243,,,,1.171138,1.700819,2.107597,,,2.811310,1.940437,,1.303935,2.620163,,1.536232,,1.258965,,2.608554,,3.792843,1.398785,2.146097,,3.748496,,1.884339,2.377395,2.274313,,,2.829994,,,,1.918970,2.182581,,1.112370,,,,,,,,,,,1.580103,1.618650,,,,,2.213873,1.600576,,1.790846,,,2.838114,,2.452772,,,,2.175172,,2.624109,2.594931,,1.521493,1.922017,2.324359,3.254065,,1.248958,2.245082,1.723397,,2.123297,1.860830,,,1.183771,2.888976,
1.810940,,,1.764127,1.059003,1.965248,2.434929,,2.292010,3.472155,3.342498,1.808034,3.201042,,,2.885338,1.177381,,,3.014031,1.120102,1.511631,,,3.305535,,1.888179,1.075729,1.485393,2.179454,1.888455,2.621595,2.562966,,,,,2.036213,1.542217,2.132749,,,1.229364,,1.617072,1.304052,,1.231666,1.080042,2.616175,,1.283117,1.773544,1.376406,1.820050,3.280005,2.834391,,1.294754,,2.239544,,2.022653,,1.550580,,,2.295007,2.267208,,,1.737553,,,,,2.284077,,,1.418499,2.909656,,,2.488751,1.503313,2.312731,,,,2.913385,,,2.322947,,,2.151573,,,,
,1.659443,2.371033,,,1.344155,2.181682,,,,,,,,,1.501546,,,,,,2.804592,,2.561174,,,,,1.446019,1.444791,1.263314,1.198757,1.665669,,3.076240,,3.160008,,1.301233,2.381387,,1.261341,,1.625963,3.217757,3.880400,,,1.042777,,2.572616,2.172253,,1.692839,,2.758071,,,1.860433,2.905373,1.661533,,,1.732173,2.078052,1.772866,1.994239,,2.435271,1.848497,,,,1.451824,,,,3.543916,2.881982,,1.500768,,2.451794,2.139218,,,1.458089,,2.153978,1.673819,,,,,,,,,,
1.359953,1.235103,,,,1.873991,1.836405,,,1.399865,1.068742,,2.770636,1.010359,,,1.493433,,1.807395,,,,,,,,,,2.404938,,2.013934,2.451026,,,1.310567,,,,,,,1.469805,1.371082,1.075893,2.701281,,,3.156158,1.186471,,,,1.471499,,1.877757,,2.151926,2.360491,2.435157,,1.205750,,,2.435309,,,1.367553,1.020011,,1.952998,2.985025,1.262598,3.126812,,3.046251,1.607623,,,,1.860126,2.318037,2.229086,1.848759,2.203614,1.248136,,,,,2.783362,1.998899,1.529281,1.025266,2.511908,3.438794,2.666193,1.499428,2.114950,,
1.949855,2.974898,1.248726,,2.212723,,3.745158,2.435844,1.732651,,,3.298791,2.620605,,,1.674005,,,,,,2.262898,1.544873,,3.195729,,2.116197,,,1.098788,1.819918,,2.968168,2.730948,1.613561,1.707601,,,1.466726,,2.497610,,3.458619,1.066393,3.208365,1.435567,2.593174,,3.017359,,1.623692,1.474634,,1.983599,,1.519954,,,1.802452,2.413011,2.120782,,2.332590,,,,1.240101,1.781775,2.802207,3.205744,,2.228594,,1.482747,1.872207,,1.673464,2.891561,1.750076,2.986373,1.899659,1.151236,,3.040615,1.365107,,1.495676,,1.611737,2.480921,,2.592903,,2.844989,2.127922,,,2.204764,,1.632282
3.373332,3.042869,,3.095160,1.219931,1.799485,,2.745377,,,,1.871400,,,,1.650232,,,,1.116516,2.352214,1.071072,,,,1.140833,2.754597,,,1.552806,,,1.475639,,2.101307,,1.483348,,1.880902,,,,2.771333,,1.178446,,,1.579925,1.077612,,,,1.204160,1.148303,,,1.764102,,,,1.430254,,,,2.524159,3.029719,1.007468,,2.346430,2.077214,,1.146233,1.258161,2.510807,,2.488643,,,,2.437263,,,,1.504684,,,,,,,2.177589,,3.627554,,,1.379078,2.239874,2.601037,,2.126477
1.884970,,2.682254,2.153844,2.061482,1.870175,,,1.531172,,1.154157,,1.219605,,2.081947,1.906142,2.331519,1.420832,,2.339229,,,,,1.735718,,,,2.543489,2.549503,,2.320189,,2.509906,1.317320,,2.428470,1.794551,2.741447,,1.992298,2.131900,1.037873,2.637266,1.438452,,1.415113,,1.081872,3.029923,,,,2.410516,,2.348040,,,1.749502,2.404872,,,,,1.454099,1.359681,3.013481,,,,2.069962,,,1.450984,,,1.389913,2.805204,1.673823,,1.747930,1.542687,,1.678068,,,,,,3.155171,,,,,,1.574958,,2.086171,1.950450,2.695517
,,,2.691026,1.574024,,,3.192739,,,1.056670,,,2.121325,,,1.879634,2.222609,2.851003,2.296174,,1.216754,,,2.296420,,1.127587,,,,1.349103,,,2.740187,2.289091,1.740192,2.325125,,1.675927,,,1.704834,,1.287889,,,,1.927327,1.048770,2.149968,,,,,,,,2.803190,,1.887176,,,,,1.709508,2.434308,2.450332,,,,1.637045,,2.333063,,1.721871,,2.357801,1.270587,,,,1.152660,3.702733,1.575478,,1.099703,,,2.559589,1.939846,1.915438,,,,1.277695,1.005287,1.082858,,2.609897,3.890112
1.108207,,,,,3.637226,1.787219,,1.057808,,,,,,1.816128,,,1.913557,,,1.434980,,1.550156,1.209648,2.648789,,,,,2.086495,1.342420,2.196812,2.912245,,,,,,1.343862,3.519246,,1.017180,3.242811,,2.643497,3.113253,1.530064,1.907191,,,1.525172,1.322144,2.140895,2.364158,,2.959939,1.256026,2.180013,3.063729,1.994597,2.883547,1.885877,3.586710,2.150612,2.441767,2.142185,,,,1.873774,2.685871,2.414696,,1.216355,,,,3.778332,,1.812240,,,,,1.195582,1.555778,,,,,1.607059,,2.981959,1.110557,2.074317,2.780258,,,,
,2.686731,1.726613,,3.868862,1.139572,2.038491,,,1.540422,,1.713653,3.942088,2.520937,,2.323707,1.260059,,1.359054,,,1.790680,,1.854961,1.689550,,,,2.180221,2.128919,,3.731439,,,2.086013,,,1.507912,2.085925,,,1.744617,,1.031123,,1.178884,1.143534,2.128612,1.880111,,2.221474,,1.539913,,,,,,,,2.084402,1.239890,,,1.075459,1.333256,1.667530,1.307987,1.739835,,2.204011,2.331153,,,,2.771203,,3.079839,,1.519139,,2.720115,,1.783765,,2.520951,,2.729088,,,,1.727741,1.168310,1.707886,,1.004161,,1.574451,2.131946,
2.560875,,1.594001,1.942473,,3.028080,,2.470000,,,,,1.935781,,,,,1.398911,,,,,1.309000,,1.335578,,2.274786,,,,,,2.047804,2.132723,2.099514,,,,,1.523531,1.223963,2.784488,,2.155508,,,1.651048,,1.473605,,,2.263402,,,,,1.111356,1.271460,,,,,,1.709763,2.210730,2.085477,1.757280,2.271847,,,2.161221,1.087674,1.607001,,,1.884074,,1.792240,1.357182,1.477833,2.936239,1.962936,3.098962,2.442808,1.838619,2.651762,,,2.363228,3.021610,2.023097,,,,1.300412,1.397452,,1.316404,,2.371814
2.940105,,,,2.180919,,,3.235314,2.580608,1.500088,1.641124,2.657904,,1.380681,2.141807,,,,,2.257754,,,,1.348990,1.586749,,1.167928,,2.421738,1.744974,,,,,,,1.722982,,2.458765,,,3.734066,,,,,1.660173,,1.893141,,2.878610,3.025156,2.863841,,2.546718,3.146960,,,,,1.666371,,3.101271,,1.213484,,2.908930,,,3.095665,,1.789713,1.361257,,,1.789990,,3.322390,,,,1.736658,1.264871,,,3.255337,2.197835,,,,,2.932419,,1.097263,2.195704,3.356879,2.933848,,,1.649883
,1.057152,,1.736166,2.389599,1.737078,1.994286,,1.759813,1.018312,,3.037092,,,1.698155,2.033108,1.385805,,1.770946,2.701103,,,1.928778,3.537278,,,,,3.203778,1.522970,,2.069474,,2.789778,,,,1.995122,1.354369,,,1.592055,1.035730,,,,,,3.625716,1.681527,1.133196,2.429822,1.823573,1.956486,,2.316873,,,1.718604,,,2.412022,2.125216,1.082581,1.331459,,3.293071,2.287161,,,2.058042,,1.652978,,,,,,1.119205,1.387778,,,,2.051134,,2.065903,,,,,,,1.013247,2.539647,,1.240207,2.044413,1.406829,,2.975508
,,1.441987,1.673955,,3.310315,2.380051,,,1.389964,1.068596,,,1.505882,,2.743325,,2.503408,,,1.840408,2.692795,,,,1.551878,1.065332,3.136459,1.580027,1.466015,,1.711257,,,,1.693187,,,,1.790375,1.542613,,,,,1.859221,1.338558,1.881300,,,2.299459,,,,,3.373739,2.187278,,1.230790,,1.792539,2.372775,,,1.282244,,,1.687044,1.684161,1.227634,2.062597,,1.947352,,,,1.841364,,2.981077,,,,,,1.217123,2.154433,1.303628,3.340811,1.017078,,1.405495,2.482841,2.249308,,1.541408,,,1.026253,,
1.166218,2.262600,,,,1.573733,,,,,2.398797,1.860117,2.789234,,,,,,,,,2.307435,2.275891,2.240622,,2.488179,2.481803,1.703261,1.240986,1.243955,2.041633,,2.826694,,,,,,2.289848,,2.484335,,,2.412282,,,2.446830,1.398009,1.713460,,2.414382,1.747239,1.305860,2.481824,1.571675,1.620515,,2.096664,,,,,,,1.279954,3.036964,,,,1.733910,,,,,,,,1.036270,2.907312,2.623384,1.732088,2.202777,3.424486,3.631013,1.155306,1.713781,,3.952423,1.435485,3.003983,,,,2.210843,,,1.082722,,1.953772,1.338318
,1.901187,2.796188,1.935156,,1.394162,,,1.153566,3.048276,,2.802397,1.247826,,1.925605,,,2.185486,1.980067,2.343131,2.569873,,,1.366211,,,1.935701,1.283651,,1.170151,,,2.661960,,2.113416,,,,,1.432322,1.607099,1.652147,,,1.626347,,,1.327597,,1.692473,,1.465076,,2.466458,,2.058344,,3.233383,1.366665,2.116629,1.317448,,1.372174,2.504587,,3.031628,2.707962,,,2.606913,,3.006894,,,1.586034,2.092033,1.123058,2.698714,1.258339,,2.188634,,,1.782211,,1.780229,,,,2.289234,,2.793877,,,,1.352136,,,,1.612030
1.175353,,,,,,2.130536,1.975901,,1.609928,,1.029215,,,,2.952121,,,,2.198097,,,,1.994863,,,1.280335,,2.031276,2.830401,2.041807,1.997647,,,2.262850,,,,,1.243303,,1.321810,2.293075,1.823231,,,,1.923186,,,,,1.678851,1.298400,1.452349,1.264410,1.389255,2.196884,,2.943485,1.202375,,,,1.348737,2.430774,,,2.766937,,3.540833,,2.730251,1.910838,1.110083,2.045427,2.362681,,2.318698,1.437599,,,1.778141,,,2.431634,3.100486,1.705624,1.395553,1.623726,1.118622,,,1.215791,1.457815,1.670120,1.275479,,1.603769,3.537929
1.475226,,2.224203,2.543806,,2.373041,,3.009375,2.378477,2.594936,,,1.974210,2.271060,,1.037288,,,,,,1.125001,2.968369,2.617027,,1.580314,,,,3.141843,,,2.006395,1.065866,1.889597,,1.474325,,,2.052136,,2.244044,2.136306,1.796633,2.192789,,,,2.307153,1.747840,1.981523,,2.220111,,1.274206,,2.991924,1.431458,1.779047,1.434847,2.588914,2.173698,2.479359,,,,,,1.702080,1.157771,,,,,,1.577730,,2.494489,2.026128,,2.365904,2.756266,1.966973,,,,1.801120,1.962685,,3.417901,1.029826,1.825689,1.141475,2.329164,2.263668,,,,1.409133,
,,,1.298464,,,,1.281186,1.005250,,1.696362,2.268390,1.631807,,1.627914,,,,,,2.028701,1.453937,,1.410879,,1.982334,,,2.014793,,,,1.854805,,,,2.428469,,1.420330,,2.414169,2.289373,1.223861,3.661908,,,,,2.007558,,,1.221742,1.040969,1.076117,,1.969824,1.990980,,2.283257,2.877330,,2.965037,,3.257013,,3.276487,,,2.323532,3.041818,2.314894,1.967621,1.662727,,2.641970,2.122201,,1.414236,,2.131459,1.811665,,1.016062,1.221628,1.623318,,,1.520377,1.382992,,2.123327,2.640370,,1.648981,,2.174863,1.205674,1.336285,,
