128
,1.022592,1.049172,,1.173847,1.246303,1.252411,1.003218,,1.124493,1.060182,1.285787,1.094262,1.046213,,1.001522,,1.218161,1.200297,1.044396,1.157993,1.234456,1.118310,,,,1.089748,1.374733,1.218919,1.254746,1.243244,,,1.201084,,1.078895,1.048492,1.184643,1.051800,1.090097,1.142909,1.285357,1.247831,1.090707,1.041792,1.091539,1.010885,1.385040,,,,1.149879,1.523724,,1.013684,1.252832,,1.070770,1.294084,1.363132,1.004158,1.204237,1.072336,,,1.049278,1.079448,1.361767,1.025551,,1.073519,1.368030,1.109203,,1.032257,1.069307,1.000368,1.237311,1.117766,,,1.017346,,1.188892,1.344351,1.410030,1.003401,1.032042,1.442071,1.065247,,1.023426,1.042495,1.238989,1.235808,1.016129,,1.359554,1.009934,1.171372,,1.207357,1.091668,,1.093672,1.148300,1.030401,1.160421,1.018516,1.063909,1.184725,1.052776,1.002605,1.080736,1.340153,1.066006,1.030379,1.002769,,,1.365460,1.024379,,1.004384,,1.151313,1.050862,1.050708
1.123933,,1.063495,,1.098051,1.349608,1.102523,1.062828,1.093874,1.083376,1.606557,1.149851,1.254659,1.064726,1.167199,1.026520,1.075064,1.330929,1.287793,1.120861,1.227598,1.059728,1.218770,,1.171790,1.205402,1.389204,1.292789,1.079069,1.013911,1.218033,,1.256979,1.129648,1.505164,,,,,1.103076,,1.069458,,1.162865,1.597457,,1.181192,1.008502,,1.191688,1.107077,1.286367,,1.178564,1.171644,1.135470,1.260924,1.327965,1.015139,1.112481,1.033157,1.036816,1.271377,1.316947,,1.042184,1.047400,1.091133,1.089850,1.377161,1.034367,1.124777,1.453339,1.088324,,1.151597,,,1.035597,1.078773,1.029605,1.041401,,1.118397,1.124108,1.116281,,1.285091,1.451724,1.179557,1.154963,1.189101,1.383451,1.104613,1.003130,1.119911,1.006001,1.195633,1.045827,1.048339,1.160200,1.109997,1.256692,,1.264849,1.119825,1.083042,1.048485,1.100281,1.090304,1.003540,,1.018137,1.089649,1.036568,1.257885,,1.172372,,,,1.590024,,,1.102037,1.158088,1.045269,1.356567
1.051929,1.041938,,,,,,1.171475,1.142804,1.299423,1.139099,1.046950,1.373056,,1.011081,1.134397,1.325012,,1.078468,1.026246,1.020187,,1.306903,1.020208,1.508169,1.124998,1.115558,1.019646,1.056266,1.066924,,1.147961,1.378790,1.137710,1.000948,1.326795,1.158705,1.027560,1.329117,1.106307,1.328747,1.076248,,1.108221,1.087265,1.012703,1.326319,1.130655,1.073679,1.016756,1.172425,1.204810,1.206399,1.072351,1.144332,1.049111,1.238288,1.518746,1.249804,,1.018606,1.165138,1.208731,1.029053,1.178141,1.123007,1.226530,,1.041087,1.153722,1.020450,1.165456,1.018051,1.224450,1.068864,1.357096,1.019104,,1.024744,1.086816,1.288438,1.007427,1.261441,1.007692,1.104672,1.253325,1.475926,,1.229864,,1.001730,1.220229,1.120709,1.078917,,1.024309,1.112801,,1.026028,1.085295,,,1.083348,,1.012913,1.182231,,1.114609,,1.188142,,1.544136,1.037973,,1.002622,,1.106113,1.079598,1.416116,1.215417,1.105085,1.017293,1.260590,1.112031,,1.040643,1.183112,
1.026481,1.016327,1.012473,,1.176588,1.211397,1.086884,1.088419,1.104030,,1.036852,,,1.089446,1.157253,,,1.087725,,1.006024,,,,1.157291,1.212919,1.003285,,,,,1.005206,,,1.222828,1.014781,1.019115,,1.104942,,,,,1.406523,1.017876,1.031915,1.225743,1.070235,1.240999,1.385027,1.045920,,1.090532,1.171247,,,1.057231,1.168207,1.153648,1.010661,1.125047,1.003997,,,,1.058374,,,1.062842,1.032688,1.119238,,1.119728,1.029274,1.142758,1.035991,1.183592,,1.079001,1.112815,1.092624,1.015652,,1.040153,1.269805,1.276142,1.173345,1.214462,1.028311,,1.066272,1.180870,1.069981,,1.021398,1.127106,1.184585,1.133927,,1.110188,1.033834,1.058263,,1.048095,1.065857,1.034484,1.066588,1.258192,1.008487,1.101247,,1.209296,1.142886,1.049925,,1.000908,1.088325,1.035908,1.457370,1.243880,1.186303,,1.053006,1.035315,1.105663,1.544924,,,1.015533
1.142273,,1.358988,1.104453,,1.681043,1.303683,1.141663,1.676819,,1.144288,1.048634,,1.065097,,1.056948,,,1.010138,1.227559,1.118890,1.032230,1.110565,1.033886,1.003683,1.017956,1.256551,,1.238645,,,,1.039342,1.155426,1.118911,1.027005,1.385279,1.001511,1.021021,1.058226,1.030810,1.163956,1.016995,,1.010608,1.062979,1.024631,1.327787,1.118764,1.067084,1.052111,1.271330,1.170638,,1.024918,1.361765,1.400081,1.059436,1.204589,1.058706,1.189952,1.191199,1.194403,1.194490,1.135107,1.164751,1.079099,,,1.026912,1.049078,,1.240286,1.064398,1.438005,,,1.113684,1.183452,1.760943,,1.186971,1.024081,1.028069,1.115268,1.039026,1.222862,1.318498,1.016775,,1.122134,1.122550,1.057004,1.199687,1.206964,1.097639,1.224491,1.319063,1.010383,,1.227990,,1.012873,,1.002941,1.006274,1.187852,,1.031363,1.033901,,,1.316490,1.034712,1.126788,,1.057211,,,1.031333,1.277516,,,,1.036974,1.118282,1.429342,1.051184
1.208758,1.143045,1.215136,,1.067815,,1.055295,1.304755,1.127658,1.005065,1.060726,1.101905,1.095552,1.538085,1.177759,,1.128177,1.039255,,1.075769,1.176678,,1.192465,1.052977,,,1.453675,,,1.408031,1.005478,1.149639,1.136204,1.020945,1.010660,1.256625,1.094611,1.099536,1.189542,1.200882,1.049911,1.062724,1.031114,1.166327,1.153163,1.052494,1.294706,,1.108199,,1.517401,1.550025,1.010489,1.063867,1.130004,,1.368182,1.083665,1.172205,,,,1.134696,1.038093,1.089506,1.262968,,1.034278,1.274975,1.032642,1.256626,1.215981,1.056403,1.149215,1.074080,1.154826,1.031310,1.074340,1.037433,,1.152830,1.342333,1.142711,1.198913,,1.093656,,1.050516,,,1.232119,,1.650667,,1.043595,1.337233,1.281042,1.266978,1.140854,,,,1.049353,1.099244,,,,1.247831,1.088717,1.010238,1.344775,,1.259749,,1.130926,1.358263,1.264509,1.363382,1.073463,,1.516462,1.223358,1.115397,1.217256,,1.062645,,
1.055737,1.060160,,1.202938,1.436794,1.239518,,1.122624,1.016064,1.220843,1.087104,1.048614,1.213027,1.005268,,1.059849,,,1.200753,1.033798,1.408019,,1.009285,,1.071899,,1.047711,,,1.131583,1.161130,,1.199161,1.274373,1.030553,,1.111540,,1.180350,1.193306,1.009139,1.084636,1.000234,1.041310,1.049926,1.269331,1.307198,,1.229428,1.156394,1.038783,1.107165,1.240193,1.510459,1.070304,1.005739,1.070652,1.279733,1.109734,1.046038,1.371302,,,1.066737,,1.140024,1.070334,1.014874,,1.324606,1.076107,,1.368361,1.347800,1.115966,1.051427,1.345208,,1.161756,,,,1.022521,1.091680,1.028216,1.202120,1.122001,1.146269,,1.310924,1.016672,1.038522,,1.075937,,1.213610,1.161052,1.066456,1.015296,1.060514,1.140971,1.054908,1.058967,,1.044512,1.094423,1.056645,1.357067,1.031651,1.038614,,1.025139,1.112149,1.125366,1.029667,1.008306,1.148565,1.611510,1.096560,1.061111,1.172488,1.111402,1.049454,1.177640,1.221613,1.044092,1.424460,1.054420
1.305051,1.002813,1.069847,1.158349,,1.007014,1.111666,,1.027212,1.148090,1.166847,1.131185,,,,,1.006550,1.239476,1.005770,,,1.152736,1.036725,1.180599,,1.781906,1.000649,1.118312,1.306373,1.190267,1.048388,1.081429,1.090005,,1.094000,,1.705362,1.096688,1.149327,1.099195,,1.083591,,1.100358,1.107311,1.240367,,1.009944,1.038499,1.026292,1.023695,1.086854,1.222357,,1.202684,1.228207,1.186238,,,1.002512,1.057658,1.086172,1.213457,1.138742,,1.003812,1.028926,1.032259,,1.413833,1.092830,1.117340,,1.134007,,1.168576,,1.059958,1.430612,1.099648,1.012620,1.242786,1.053417,1.023407,1.357509,,,1.432641,1.392467,1.231095,1.065020,1.322921,1.077299,,1.251076,1.042479,1.046221,1.018432,,1.064066,1.522042,1.218278,1.014710,1.309242,1.117524,1.063081,1.077271,,,1.002375,,,1.087293,1.270466,1.159047,,1.097236,,1.412704,1.199439,1.130849,,1.149893,1.384341,1.220281,1.144356,1.309383,
1.005345,,,1.050682,1.085489,1.002000,1.013261,1.125685,,1.001165,1.520643,1.211537,,1.228786,,,,1.122951,,1.127657,1.097423,,1.106526,1.078837,1.076401,,,1.289149,1.009731,,1.194041,1.006934,1.152670,1.118747,1.022687,1.260648,,1.012701,,,1.117796,1.435168,1.226451,1.076393,1.181041,1.042640,,,,1.145761,1.287050,1.020897,1.088292,1.415743,,1.114780,1.262928,1.286631,,1.006477,1.075366,1.493187,1.396553,1.336709,1.105605,1.002305,1.045063,,1.167162,1.221553,1.030048,1.037564,,,,,,1.161923,,1.394027,,1.051422,1.135131,1.041898,1.160418,1.175228,1.225282,,,,1.218170,1.333348,1.002390,1.097912,,1.083723,,1.010411,1.340687,1.045593,,,,,1.034389,,1.867435,1.000756,1.134187,,,,1.330792,1.091152,1.024070,1.124335,,1.447498,,1.263857,,1.178190,1.120350,,1.086920,1.078465,1.261002,
1.211752,,,1.198504,1.200920,1.019144,1.111610,,,,1.019891,1.115889,1.083503,1.067930,1.083776,,1.250481,1.050996,,,1.039890,1.145334,1.026677,,1.069975,1.129735,,1.017828,1.245831,1.297427,1.141942,,1.240228,1.108621,1.007343,1.005429,,,1.108206,,,1.197019,1.015081,1.478588,1.001202,1.333082,1.055340,,,1.189128,1.152099,,1.008117,1.125727,1.355446,1.059971,1.136519,1.194832,1.012091,1.017167,,,1.093845,1.071451,1.306405,1.045412,1.180655,1.168141,1.360786,,1.293456,,1.203334,1.011477,1.075186,1.371504,1.032994,1.059117,1.192074,1.179821,1.060403,1.113580,1.167726,1.008375,1.193405,1.145136,1.220223,1.307151,1.028215,1.238408,1.084446,1.101807,1.118554,1.121069,,1.504605,1.061374,,1.093504,1.085099,1.360535,1.301012,1.107701,1.058715,1.096133,1.316704,,,1.066434,1.404873,1.108793,,,1.002806,,1.270542,1.031377,,1.051791,1.128157,1.055543,1.161810,1.236040,,1.044254,1.290445,1.192986,1.436807
