144
,1.841082,,,,,2.183402,2.136681,1.507156,1.877025,,1.351343,,2.562641,2.226391,,1.839860,,1.230488,,,,,,2.907582,,,1.699894,1.945553,2.383965,,,1.429769,,1.470730,2.642317,,,2.278555,,,1.559209,,1.240345,,,1.890317,,,,,2.054647,,,2.178450,3.658515,1.300834,1.339739,,1.404886,1.829778,,1.652614,1.202407,,2.368993,1.677770,,2.523000,2.264056,2.301123,2.379639,,,,,1.781836,,,,,2.640704,2.601955,2.027483,2.453220,,1.853020,,1.273890,,,2.426539,1.879183,,,,1.987611,1.562333,,2.515456,,,1.855184,,,1.264046,2.626690,2.827568,3.226518,1.673280,1.709492,2.202956,,,1.624664,,2.484167,,,1.779352,1.700295,,1.215288,1.739632,,,2.060089,,1.473888,,,,2.215133,,,,2.798348,1.573929,,,1.406210,,3.716410,
2.360473,,3.024337,,1.722181,2.219970,,,1.755811,,,2.248247,2.061407,,1.459934,1.499049,1.485878,2.502787,1.071450,,2.276820,,2.204859,,2.326694,,1.309022,1.616922,,1.842538,2.242191,1.531987,,,2.390519,,,,1.628762,,2.001028,,,2.321349,2.301715,1.923320,,1.180650,,1.879525,1.141459,,,3.101505,2.103110,,1.944647,3.077372,1.576139,,,2.320967,,2.721010,2.367442,2.242546,,2.211386,,,,,,2.563475,,3.174370,1.044312,,1.910599,2.352023,,,,1.008214,,,,,1.319942,,1.968154,,,1.598977,1.148004,2.843033,1.232115,,,,1.574338,,3.295464,1.976993,1.516354,3.002914,,,1.639614,1.372577,2.146374,1.385583,,1.699673,3.008143,1.100798,2.265994,,1.837254,,2.187782,,,1.752604,2.262217,2.579952,,2.371473,,1.722754,1.502581,2.252998,1.189763,,2.466269,,1.076482,,,,3.551383,3.776156,,1.006818
2.290959,,,,,1.000292,2.594520,1.300471,1.444381,,,,,,1.557438,2.252194,2.523734,,,2.612259,1.015047,1.144721,1.132139,1.976209,1.014860,1.926856,2.669921,,1.495738,,,2.085780,2.938627,,,2.130472,,2.168109,1.116161,1.351034,,2.436029,,2.116395,2.496695,1.483153,3.050067,2.041912,,2.068743,,1.436067,3.640191,,1.258097,,1.815209,1.938232,2.485808,2.739418,2.678701,,1.686214,1.672671,1.564203,1.123288,,,2.542962,,,2.169101,1.698635,1.840349,,,2.024077,,,2.479407,1.716025,,1.312863,,,1.423452,,,1.587395,2.106629,,,,,,,1.024800,1.262990,,,,1.842128,,2.232845,,2.623824,,1.311092,,,,,,,3.439088,,1.593739,,3.104963,,1.107088,,,,,,,1.079908,2.551327,,,,1.270565,1.634627,2.067960,,2.723062,,3.205878,,,1.607236,2.656661,1.830871
3.321011,2.372945,1.108086,,2.658227,2.522700,1.461443,,,,,1.798698,,3.635916,,,1.966537,1.424440,3.062318,,,1.436633,,,,,,,1.382854,,,1.632586,1.271293,,,,2.932081,2.313792,1.808295,1.036244,,,,,,1.346284,2.107390,,,,1.941751,1.249079,2.265275,,,,2.102114,,,2.450511,,,1.509545,2.018043,,,2.231327,,1.623357,3.059233,2.137708,1.035499,1.561267,,1.969298,,,1.477854,1.817317,2.369235,1.662310,,,,,,,,,1.909605,1.086646,,,,1.238595,1.330710,,2.077036,,1.256397,1.472936,1.528885,1.148810,1.374376,,2.555370,,,2.322201,,,,,,1.476383,1.594879,1.386934,1.345116,,,,,1.103476,,,2.520420,1.345830,2.512942,2.973267,,2.384902,1.775903,2.143550,,1.005293,,,2.289740,,1.591375,,,,
1.516963,1.640035,,,,2.219764,,2.506327,2.845936,2.244365,,,2.230354,1.870612,2.552786,,1.792218,1.337589,1.818162,3.818034,1.627044,3.288424,1.965238,,1.032939,,2.572709,2.180045,,,1.157298,1.483086,2.723763,,1.610175,2.677323,2.424412,,3.503559,,,2.263741,1.702563,2.102029,1.077978,1.179202,2.381225,1.147572,1.736378,,,,,1.076012,,1.104253,1.526439,,2.507142,1.422784,3.595397,1.863066,3.189327,,,2.446825,1.347351,,,,,1.003439,3.447249,3.074403,1.469144,,,,,1.087503,1.539349,,,2.346695,,,1.158697,,,1.632764,1.612520,1.214963,2.046223,,1.608337,,,,1.385809,1.649683,2.548175,1.855939,,,2.841192,1.869874,2.051417,1.386304,2.102896,,1.048621,,,,1.630856,,,2.163654,2.433464,,,2.379995,1.887355,1.926181,1.566795,2.432570,1.959931,,3.362453,,,1.508508,1.697491,2.263381,,3.786367,,1.217661,1.344964,1.027005,,2.141514,1.294852,
,3.044553,1.652091,,,,1.630532,2.562095,2.149722,2.876334,,,,,,,,,2.378742,1.407735,1.118428,2.448589,1.898713,,1.841409,1.440818,2.738820,,3.033397,,1.278705,,2.075640,2.514411,,,1.595245,1.366522,1.512731,1.632039,,1.396931,,,1.098521,,1.999153,2.548880,2.269223,3.442335,1.333236,3.245272,,,,,,2.493783,,1.266697,,,,1.712122,,2.354935,,,,1.443378,3.082737,3.559642,1.168400,2.304431,,,1.173932,,2.296462,,,1.379665,,1.594872,,2.526304,,,1.875356,1.141542,1.722928,2.119175,,2.662057,,,,,,,,1.133522,,,3.271661,,1.638139,,,,2.306248,,,,2.534007,,,,,,,2.051342,1.396027,2.122377,2.157351,1.155594,2.187872,,,2.598494,,2.087700,3.063371,,,,1.676687,1.719685,1.470415,1.254388,,,1.155642,
,3.933586,2.404829,1.783634,1.323984,,,2.996116,2.392217,1.842568,1.917461,,3.847798,2.299439,,,1.823714,,2.560427,,,1.546455,,,1.856523,,2.779409,2.421577,,2.182672,,,,,,1.043927,,,1.858940,,3.012179,1.388457,,,1.443647,,,,,1.195722,1.215901,2.864828,,1.434046,1.374227,1.873022,,,2.234117,,,1.611675,,,2.195634,3.241847,,,2.631009,1.755039,,,1.101638,1.970159,,,,1.587952,1.270004,2.453765,,1.834212,2.105502,3.076582,,2.840857,1.978983,,1.675246,2.352711,2.973735,2.606911,2.195621,1.349232,,1.817440,,3.024863,,,1.542050,2.540949,,2.360683,,1.593324,,,,1.493507,,1.611462,3.985424,2.686723,2.675981,,,1.814222,2.774988,,,1.154671,2.336206,,,3.490097,1.302177,,,1.945266,,,1.629071,1.171890,,,,,,,,,1.792925,
,,,,1.570957,,1.544655,,2.518957,2.841647,2.466359,2.187139,,,1.116104,2.231813,2.071453,1.342066,1.105475,1.810574,,2.911193,1.280630,1.661705,3.224821,,1.786681,,,1.734250,1.544355,,1.902133,,1.564532,1.983080,,,,2.440762,,2.957388,,,1.261382,1.958613,2.244422,,2.282104,,,1.806184,2.091109,1.038653,2.213150,1.871534,3.370633,,,,1.983020,,2.900933,,,,1.455283,,,,,,,1.709726,,,1.141279,,,,,2.118169,1.226444,,,3.244451,1.496432,,,,2.443101,,1.543512,,3.205878,,,,2.788533,1.785184,2.169037,2.752819,,1.428789,,2.796685,1.527572,,1.621368,,,1.431962,,2.418810,,,,,2.307324,1.535186,2.695794,,2.027309,2.673733,1.753360,,,1.234940,1.846848,,,1.267709,1.143554,2.413344,2.357593,,,1.404267,,1.967330,1.848095,1.861155,2.021886,1.687392
2.482493,1.667976,1.077900,2.308510,,,,2.269686,,1.288157,,,1.715075,1.656042,1.624889,1.518996,,,2.974396,2.285107,,2.582619,,1.368645,1.067439,2.967886,2.483605,,,1.701374,,3.555810,,,,,1.148687,,1.842535,2.221174,2.022497,,,1.662095,2.843194,1.698503,,,1.733504,1.579339,1.010899,3.616222,1.045185,2.004056,,,2.864667,,,,,1.364597,,,1.080022,,1.473131,,,,1.415909,,,3.699809,,1.038427,2.147080,,,1.013633,,1.912658,2.295300,1.176288,,2.675896,,1.570561,,,1.566054,,1.826494,2.203585,2.560535,1.296193,,,2.024364,1.543589,,,,,,1.244122,,,,1.809027,1.565664,,,2.016007,1.097773,,,,1.675363,1.447874,,2.969976,2.059362,,,,1.651418,1.196892,1.754644,1.978241,,,,,1.806581,3.575471,1.672792,1.456355,1.340149,,1.756385,,1.157357,2.907436
1.018493,,,1.752916,2.608004,,1.162287,,1.172853,,,,1.602774,1.061990,1.755593,1.987547,,,1.500756,2.752234,2.153220,,1.419740,,,1.272290,1.409049,,,,,,1.127016,2.054038,1.126909,,,,,,1.281885,1.303675,1.595940,,,,,,1.535411,2.678946,,1.064166,2.948071,,1.070306,,,2.316701,1.203550,1.944368,1.679156,2.634117,2.257254,1.294138,,1.381215,,1.687418,,,,,,1.429039,,2.132565,,,2.064584,,1.474601,,1.448595,,2.021554,,,,,1.600245,,,,,2.440235,1.202585,,,,,2.374917,1.224451,1.597545,2.300286,,,,,,3.168863,,,,1.125321,2.359966,3.524485,,,1.964154,2.772031,,,1.811562,,2.665355,2.031729,1.135833,,2.565610,1.667357,2.162191,2.756396,1.072915,,1.740273,,,2.138853,,1.037257,,,1.225371,
