30
9.91,19.02,9.09,8.61,25.81,24.15,15.10,17.27,21.68,21.49,18.56,29.07,13.07,22.67,11.67,7.49,17.83,21.65,25.91,18.13,13.19,16.48,19.11,4.95,25.46,11.37,22.72,20.67,24.12,5.52
19.02,11.66,26.98,19.19,19.95,21.03,16.74,9.91,14.32,15.62,12.23,23.21,14.72,15.31,30.69,11.52,10.47,23.29,18.55,10.77,5.83,13.37,16.00,22.85,6.44,7.65,15.35,13.31,18.26,24.54
9.09,26.98,8.27,7.79,25.00,23.34,14.29,17.07,21.48,20.68,17.75,28.26,12.27,22.47,20.76,16.58,23.67,20.84,25.71,26.09,21.15,15.68,18.30,4.13,33.42,20.46,30.68,20.83,23.31,14.60
8.61,19.19,7.79,7.31,17.21,15.55,6.50,9.28,13.69,12.89,9.96,20.47,4.48,14.68,20.28,10.06,15.88,13.05,17.92,18.30,13.36,7.89,10.51,3.66,25.63,13.61,22.89,13.04,15.52,14.13
25.81,19.95,25.00,17.21,8.65,16.99,14.60,10.04,9.30,4.33,12.36,11.91,12.74,15.44,37.48,18.32,16.35,21.15,13.53,19.06,14.12,9.33,11.95,20.87,26.39,15.05,23.65,13.79,6.96,31.33
24.15,21.03,23.34,15.55,16.99,15.32,12.93,15.88,17.64,12.66,16.55,20.24,11.07,21.28,35.82,16.65,19.85,19.48,21.87,12.81,15.20,7.66,10.29,19.20,27.47,13.39,8.23,19.63,15.30,29.66
15.10,16.74,14.29,6.50,14.60,12.93,4.04,6.83,11.24,10.27,6.91,17.85,2.02,12.23,26.77,7.60,13.42,6.55,15.46,15.85,10.91,5.27,7.90,10.15,23.18,11.00,20.43,10.58,12.91,20.61
17.27,9.91,17.07,9.28,10.04,15.88,6.83,4.65,4.41,5.71,2.32,13.30,4.81,5.40,28.94,9.78,6.59,13.38,8.64,9.02,4.08,8.22,10.85,12.94,16.35,5.90,13.61,3.75,8.35,22.79
21.68,14.32,21.48,13.69,9.30,17.64,11.24,4.41,8.46,4.98,6.73,12.56,9.22,9.81,33.35,14.18,7.05,17.79,4.23,13.43,8.49,9.98,12.61,17.35,20.76,10.31,18.01,8.16,7.62,27.20
21.49,15.62,20.68,12.89,4.33,12.66,10.27,5.71,4.98,5.27,8.04,7.58,8.41,11.11,33.16,13.99,12.03,16.82,9.21,14.73,9.79,5.00,7.63,16.54,22.06,10.73,19.32,9.47,2.64,27.00
18.56,12.23,17.75,9.96,12.36,16.55,6.91,2.32,6.73,8.04,4.65,15.62,5.48,7.72,30.23,11.06,8.07,13.46,10.96,11.34,6.40,8.89,11.52,13.62,18.67,8.22,15.93,5.23,10.67,24.07
29.07,23.21,28.26,20.47,11.91,20.24,17.85,13.30,12.56,7.58,15.62,9.89,15.99,18.70,40.74,21.57,19.61,24.40,16.79,22.31,17.38,12.58,10.89,24.13,29.64,18.31,26.90,17.05,4.95,34.58
