48
,1.077437,,,,,,1.655831,2.246130,1.913486,,,,,,1.159673,1.725359,1.692723,1.198730,,,1.962906,1.353324,,1.078757,,,,2.024250,,1.383607,,1.745214,1.322421,,1.396163,,1.079918,,2.083864,,,,1.617347,1.847054,1.428727,,
,,1.202263,,,,1.529171,,1.160702,1.018588,1.219284,1.301311,1.148616,1.973652,1.027491,,1.137487,2.494742,1.200118,,1.077487,1.139488,1.831677,1.709630,1.290621,1.292861,,,,2.150650,,,1.088120,2.032812,1.257044,2.181950,,1.077304,,1.314630,1.849990,1.283863,1.770893,,1.400362,,1.268512,
1.439352,,,,,1.229991,,1.334374,1.494220,1.770613,1.031644,1.885282,1.394552,,1.393316,1.176600,,1.877793,,,,,1.339587,,1.149585,2.219510,,1.679817,1.732487,,,,1.666808,1.558965,2.116205,1.689048,,,2.533120,2.351629,1.161194,,1.090722,,,1.936698,,1.074864
1.292880,,,,1.654393,1.389483,,1.375607,,,2.059583,,2.126399,,1.224486,1.041640,,1.030051,,1.099784,1.823634,,,1.212972,,2.053739,1.066189,1.275892,1.329138,,1.312617,1.735792,,1.806282,1.046434,,1.297897,1.417516,,,,1.622292,,,,,1.163580,
,,,1.670908,,1.294575,,,1.238209,1.243359,1.593379,1.473968,,1.026209,1.134102,1.850675,,1.241082,,,1.507707,1.818911,,1.453533,1.361671,1.584534,1.223808,1.359359,1.001476,,1.156347,1.924852,,1.064721,,,2.230441,,1.822847,,1.637821,1.914348,1.395426,,1.487321,1.035075,1.119905,1.854094
1.885218,1.354347,1.358602,1.149641,,,2.292322,2.385188,1.155509,1.649210,1.029148,1.821709,,1.490070,,1.216942,1.677840,,,,1.188032,,,,1.402543,,,1.367864,1.328140,,,1.154756,,,,,1.671978,,,1.170281,,1.415548,2.027766,,1.086937,,,
,,1.750253,,,1.033888,,,1.883391,1.663853,,,,1.164602,,1.563204,1.197363,,,,1.471600,1.122010,,1.043619,,,,,1.420195,1.486670,1.118928,1.838044,,1.504496,1.030228,1.482588,1.698659,1.600856,,,1.463433,,,,1.065548,,1.490502,1.401772
1.657552,,,,,1.265104,,,,1.693087,1.872539,,2.222556,1.186558,,,2.451469,1.440250,,,1.901182,1.497203,2.082328,,,,,,,,1.226620,,1.001996,,2.180078,,,1.403786,,,1.983515,,1.044114,1.523875,,,1.104374,1.704176
,1.489143,1.409232,,1.178580,,1.082254,1.372898,,,1.885482,,1.107004,,,1.134444,,,1.105011,1.738133,,,,1.784236,,2.372053,1.158669,,1.482011,,1.487397,1.061836,,,,1.183511,1.660973,,,,,1.324721,1.226189,1.445716,,,,2.611075
1.042410,,1.763324,2.343166,1.621261,,,,,,,,,1.448815,,1.661805,,,1.191088,1.346162,,2.055518,1.660076,1.786281,,,1.424959,1.406796,1.383016,1.568757,1.910148,,,1.629704,,2.341148,,1.986402,,1.437095,1.005572,,,1.219406,,,1.657925,1.142576
,1.225614,,,,1.742504,,1.881832,,1.308917,,,,1.390098,1.629583,1.499766,2.034872,1.205920,2.112371,,1.184328,2.085571,1.541464,1.572598,2.164199,1.353189,1.107383,,,1.386281,,1.366344,,,1.814770,,1.221423,,1.484999,1.041721,1.935085,1.644522,2.136073,,,2.232770,,1.029381
,,,1.429111,1.391534,1.221971,1.848962,2.011515,1.435828,1.345479,1.022519,,1.746198,,,,1.469645,,,,,1.832392,,,,1.790426,,,1.351678,1.971898,1.571161,,,,,,,,1.147650,1.387104,,1.357309,,,1.780567,,,
1.813932,1.392992,,1.181129,,,1.848812,,1.761257,,,,,,1.063110,,1.335706,,,,,2.276706,1.187486,,1.252278,,,,1.732941,1.772471,,1.356618,,1.970587,1.788146,,2.035299,1.350512,1.036146,1.073815,,,,1.107933,1.895733,2.398418,,1.594902
1.568710,,1.398896,2.318945,2.266578,,1.025899,,,1.956931,1.323986,,,,1.783863,,1.038169,,1.325473,1.364739,,,,1.159000,1.360331,1.501592,,2.130112,,1.035365,,1.344907,1.961138,1.479701,1.760310,,1.406484,,,,1.538508,,1.759178,,,,1.208393,
,1.706834,,1.666954,1.572740,,1.915221,,1.708621,1.406385,1.346718,,2.171063,,,,,,1.159313,1.823518,1.144397,,,,2.492383,,,2.602453,,,1.461208,2.146951,1.849156,1.415854,,,,1.192415,,1.339219,1.819675,1.171731,1.945949,,,,1.399880,1.319531
1.170222,,2.144817,1.162143,2.198379,1.205114,2.034283,1.619150,,,1.506790,,1.401627,,,,,1.350785,1.990544,2.241029,,,,,1.078901,,,1.933485,1.267456,1.967579,,,,,1.039780,1.018317,1.443873,,1.244742,,1.795204,,1.403125,1.085819,,1.825531,,1.288617
1.859209,1.140438,,,,1.628665,1.135351,,,1.880531,1.192991,1.548411,,,1.583969,,,1.480876,1.144197,1.471022,,1.395091,,,1.577199,1.031691,1.216720,,,1.318076,1.980832,1.495919,1.034183,,1.387575,1.364123,1.421162,,,,,1.362915,1.061132,,2.753856,,,
,1.308172,2.634398,1.056255,1.858520,,,1.737020,,,,,1.780594,1.369504,,,,,1.235314,,1.406995,1.175709,,1.749384,1.829379,1.465673,,,,,,,,,1.062165,1.460005,,,2.154876,,1.072214,,1.227867,,,1.152854,,
1.440724,2.366576,1.687307,,,1.122980,1.203648,,1.275642,,,1.359823,,,,1.355219,1.670389,1.040752,,1.741833,,,1.079389,,1.408195,1.674982,,1.295263,,1.305858,1.520241,,,1.768593,1.719502,2.000419,1.917708,,,1.437698,,1.104632,1.523392,,1.478595,1.446291,,1.125826
1.202462,,1.248949,1.522924,,1.398310,,1.327347,1.236772,2.033970,1.137057,,1.235931,1.938312,1.306397,1.354963,1.048428,1.856804,2.413869,,,,1.996144,,1.270983,1.100912,,1.680341,,,,2.150576,1.550302,1.906194,1.831896,1.060061,2.074714,1.017003,,,,,,,,,1.722564,
1.228487,,,,1.792178,1.435606,,1.073206,2.190036,,1.781644,1.016826,1.131920,1.417111,1.597913,,1.295476,,,,,,,1.661134,1.037444,2.038005,,1.711423,1.306906,,1.285191,,1.742493,1.305245,,2.199154,,,,,,,,1.620126,1.355738,,1.278304,1.657443
