96
,1.373338,1.348845,1.260349,,,,1.184334,,,,1.537998,,,1.523381,1.296344,,1.061634,1.802094,1.284726,,,,1.122351,1.181677,,,,1.782514,,1.580169,,1.071213,1.765604,1.573977,1.350523,,,,,,,,1.538554,,,,1.077335,1.914320,,1.203621,,1.327367,,1.380876,,,,,2.106323,,1.134797,,,1.567832,,1.685337,1.244089,1.458045,,1.597873,1.510965,1.446946,,,,,,1.792848,1.618003,1.100814,,1.981435,,,1.647253,1.494520,,1.496281,,1.339171,,1.277942,,1.498102,1.117934
,,,,,1.150913,1.298728,,1.169629,,,1.187706,,1.385095,,2.274390,,1.619425,1.791492,1.261910,,,,1.635956,,,1.551911,1.294212,1.252870,2.060629,1.195698,,,,1.119928,1.155669,,1.150491,,,1.488950,,,,,1.818945,1.035519,1.418544,2.351789,1.012853,,,,,,,1.091697,1.534499,1.086831,1.167254,2.337573,1.531383,1.393228,,,1.122392,,1.506245,,1.931435,,,1.005277,1.306288,,,,,2.141140,1.029660,,,1.796867,,,1.344632,1.488447,1.272692,2.058495,,,1.099183,,1.480410,,
,1.026312,,,,,2.203939,,,,,1.963287,,,,,,,,,,1.243120,1.435457,1.321488,,,1.481224,,1.077299,,1.092300,,1.695745,,,,,,1.208008,,2.158646,,,,1.545730,1.785529,,,1.052015,,,,,1.585936,1.149883,,,2.390803,1.453304,,1.520994,1.569012,1.301428,,,1.025326,1.015614,1.187499,1.518850,1.239115,1.246284,1.436159,1.169916,1.125206,2.979153,,1.551279,1.201007,2.453626,,,1.270592,,,1.093912,1.117231,,1.366724,1.422794,,,,1.719266,1.159147,1.222042,1.556250
2.210104,,,,1.839577,,,,1.345409,,,1.008244,1.262824,,,,,,1.138811,1.174518,,2.407786,,,,,1.803456,,,,1.406325,,,1.721744,1.024634,,,2.263500,,1.404921,,1.293446,,,,1.808077,,1.143850,,1.653490,,,,2.102539,1.041953,,,1.702330,,,,,1.217000,1.410767,,,,,1.491873,1.120769,,,,,,1.290768,,1.468532,1.621042,1.023309,,1.316321,1.470215,,1.405873,,1.884120,2.141029,1.199608,1.000038,2.115455,,,1.300010,1.258362,
1.508753,1.320122,,,,,1.379047,1.031058,1.093515,,1.678190,,1.604312,1.057470,1.148991,,1.720547,,1.530435,,2.427473,,1.826304,1.464781,,1.601313,1.520378,,2.101475,1.699169,,1.467589,1.277464,,1.050903,,1.550254,1.546150,,,1.410572,,,,1.694002,,1.163710,,,,1.305140,,2.298464,,1.108298,1.624957,1.742461,,,,2.624890,1.148190,,,1.526190,2.039940,,1.068037,,1.283760,2.004112,,1.671672,,1.074688,,1.571206,,1.646965,,,1.537704,1.153121,2.596496,2.120776,,1.875275,,,2.056992,,,1.638374,,,
1.003475,,,1.778188,1.551046,,,1.479977,1.578330,1.233352,1.113513,,,,,1.419224,,1.871598,1.343634,1.392579,1.647389,,1.225420,1.493550,1.512519,1.695402,1.340843,1.095787,2.226624,,1.141716,1.220903,1.566459,1.992456,1.666905,,,1.213535,1.266504,,2.969491,1.385576,2.603913,,1.514693,,1.558400,,1.580007,,,1.156207,,1.238766,1.435965,,,1.012669,1.904434,,,1.036546,,,,1.465170,1.089966,2.280214,,1.868211,2.398940,1.572344,2.144837,1.111529,,,,,1.905309,,1.270896,1.157900,1.842623,,1.055853,,,1.120531,,1.258686,,,,,,
1.455585,,,1.393109,,1.335265,,,1.051432,2.037738,1.017504,1.034681,2.013539,1.008175,,,,,1.233421,1.401460,,1.571725,1.113792,,,,,,1.204739,,,,,,1.779236,1.340854,2.087247,1.043164,,,1.012359,,1.428618,,,1.381190,,1.339738,,,,,,1.200696,1.109838,1.576593,,1.436535,2.208978,,,,1.337060,,1.050536,,,2.010161,,1.185468,1.021773,,1.009861,1.301327,,2.061843,,,1.697532,1.345077,,,,,2.145239,,1.612204,2.098050,1.386606,,,,,1.031636,1.090329,1.515713
,1.499713,2.155415,,2.114313,1.485124,,,2.025652,1.638754,,,,1.698239,1.190523,,,1.051492,,,1.054518,1.967457,2.033564,1.316433,,1.163897,,1.631001,,2.262336,,1.354358,,1.269438,,1.634250,,1.765992,,1.276203,,1.665530,1.073783,,1.858097,2.165274,,,1.135024,,1.368807,2.039897,,1.195657,1.176574,,1.629611,,1.747504,,1.503206,1.305498,,,,,1.054829,,,2.036692,,1.117337,2.946561,2.112564,1.948364,,1.048080,1.041019,,,1.230582,1.506022,,1.229477,1.219804,1.267453,1.941897,,1.127300,1.300202,1.303911,,1.861714,1.644804,,
1.353425,,,1.250195,,1.345884,,2.035280,,1.075424,1.351285,,,1.732126,1.773467,,1.451405,,2.295634,,1.099298,,,1.490924,1.206331,,1.762659,,,,1.292191,1.362476,,1.202476,1.381377,1.683525,1.090367,,1.729164,1.438845,,1.372472,1.984619,,2.135494,,,,,,1.020280,1.892762,1.543928,1.635952,1.102597,,,1.447085,,1.224187,2.037904,2.129367,1.420552,1.773912,1.438973,1.856219,,2.952028,,,,1.232188,1.045126,1.178900,1.244492,,,,1.490808,1.244984,1.120564,,,1.178607,1.152341,1.883356,1.666621,,,1.821498,1.842196,,1.764376,,1.562387,
1.233597,,1.586575,,1.550623,1.573962,,,1.068448,,,,,1.277071,,,,,1.272001,,1.236209,1.679988,1.236237,1.291575,1.815400,1.282519,1.678703,,1.433325,,,,,,,1.945130,,1.502594,,1.381074,2.229836,1.217154,1.265287,,1.073287,,2.339001,1.416927,,,,,1.038802,,,1.403800,1.379848,,1.449205,1.361570,,,,1.418528,1.769612,1.570315,,1.008756,,1.385994,1.489338,2.164369,1.581460,1.134792,,,,,,1.626828,,1.121319,,,1.206415,1.740135,1.639286,1.598413,1.451199,1.078163,,1.487555,1.653698,1.087437,2.105294,
